Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-07-03,56490 ,0.017400 ,104100 ,-0.000200 ,48166000 ,0,75.22
2023-07-02,28820 ,0.001000 ,104130 ,0.001200 ,63587000 ,0,74.31
2023-07-01,22460 ,0.003700 ,104000 ,-0.000100 ,100258000 ,0,76.41
2023-06-30,118650 ,0.000900 ,104010 ,0.004400 ,92340000 ,0,-
2023-06-29,49570 ,0.012200 ,103560 ,-0.007300 ,71440000 ,0,71.66
2023-06-28,51060 ,-0.019900 ,104330 ,0.001500 ,154391000 ,0,72.25
2023-06-27,55820 ,0.013900 ,104170 ,-0.000900 ,72142000 ,0,74.95
2023-06-26,58710 ,-0.006500 ,104260 ,0.000600 ,35625000 ,0,76.23
2023-06-25,37120 ,-0.002200 ,104210 ,-0.000400 ,37200000 ,0,75.33
2023-06-24,38150 ,-0.004800 ,104250 ,0.003500 ,47312000 ,0,76.72
2023-06-23,98850 ,0.026400 ,103890 ,0.003900 ,74873000 ,0,76.64
2023-06-22,79220 ,-0.003500 ,103490 ,0.002800 ,43254000 ,0,74.9
2023-06-21,143490 ,0.059700 ,103200 ,0.000000 ,44941000 ,0,74.47
2023-06-20,100550 ,0.054400 ,103200 ,-0.003700 ,29393000 ,0,74.99
2023-06-19,46450 ,0.019200 ,103580 ,0.006800 ,27403000 ,0,75.37
2023-06-18,27310 ,-0.006600 ,102880 ,0.003100 ,32215000 ,0,73.18
2023-06-17,35860 ,0.006600 ,102560 ,0.001300 ,36935000 ,0,74.6
2023-06-16,69240 ,0.029300 ,102430 ,-0.002400 ,31487000 ,0,73.33
2023-06-15,68380 ,0.018400 ,102680 ,0.006100 ,34498000 ,0,73.54
2023-06-14,60820 ,-0.030800 ,102060 ,0.005700 ,36101000 ,0,76.22
2023-06-13,56240 ,0.000900 ,101480 ,-0.001300 ,32185000 ,0,75.74
2023-06-12,40750 ,-0.000800 ,101610 ,0.002200 ,38339000 ,0,75.85
2023-06-11,39200 ,0.003300 ,101380 ,0.001600 ,40273000 ,0,76.21
2023-06-10,83570 ,-0.024000 ,101210 ,-0.001800 ,57033000 ,0,73.27
2023-06-09,38960 ,-0.000800 ,101400 ,0.000600 ,29169000 ,0,72.97
2023-06-08,39950 ,0.006000 ,101340 ,-0.006000 ,37716000 ,0,73.66
2023-06-07,77480 ,-0.032600 ,101960 ,-0.001900 ,40634000 ,0,78.61
2023-06-06,88610 ,0.057600 ,102150 ,0.004800 ,37853000 ,0,-
2023-06-05,85420 ,-0.050700 ,101660 ,0.001500 ,33928000 ,0,79.73
2023-06-04,23810 ,0.001900 ,101500 ,0.000400 ,34510000 ,0,78
2023-06-03,20620 ,-0.006300 ,101470 ,-0.003900 ,42771000 ,0,80.28
2023-06-02,49370 ,0.015900 ,101860 ,0.005100 ,35866000 ,0,82.79
2023-06-01,51980 ,-0.014600 ,101350 ,-0.004700 ,60481000 ,0,80.95
2023-05-31,63080 ,-0.017400 ,101820 ,-0.000200 ,32147000 ,0,80.77
2023-05-30,45190 ,-0.001500 ,101840 ,-0.001300 ,39566000 ,0,81.74
2023-05-29,54560 ,-0.011800 ,101970 ,0.002200 ,35362000 ,0,83.58
2023-05-28,55230 ,0.045200 ,101750 ,-0.003500 ,44626000 ,0,84.69
2023-05-27,18680 ,0.005500 ,102100 ,0.005400 ,31438000 ,0,85.93
2023-05-26,45880 ,0.008900 ,101550 ,0.005400 ,39528000 ,0,86.06
2023-05-25,50170 ,0.005600 ,101010 ,-0.004800 ,39765000 ,0,87.36
2023-05-24,72650 ,-0.032800 ,101500 ,-0.006900 ,51502000 ,0,85.58
2023-05-23,50890 ,0.013900 ,102200 ,-0.003600 ,36859000 ,0,84.53
2023-05-22,35560 ,0.003600 ,102580 ,0.004800 ,39872000 ,0,84.76
2023-05-21,27420 ,-0.013500 ,102090 ,0.002700 ,43393000 ,0,84.57
2023-05-20,17720 ,0.008700 ,101820 ,-0.000300 ,36452000 ,0,84.89
2023-05-19,36670 ,0.002000 ,101850 ,0.002600 ,39369000 ,0,85.08
2023-05-18,63390 ,-0.021000 ,101590 ,-0.005000 ,35610000 ,0,84.1
2023-05-17,58140 ,0.013600 ,102090 ,-0.004000 ,36103000 ,0,78.08
2023-05-16,45290 ,-0.005500 ,102510 ,0.003500 ,45492000 ,0,77.78
2023-05-15,53270 ,0.009800 ,102140 ,-0.004800 ,56489000 ,0,78.04
2023-05-14,26350 ,0.005300 ,102640 ,0.002100 ,79730000 ,0,77.89
2023-05-13,27950 ,-0.000800 ,102430 ,-0.004200 ,54741000 ,0,74.77
2023-05-12,87490 ,-0.006800 ,102860 ,-0.002500 ,43275000 ,0,75.14
2023-05-11,62850 ,-0.022500 ,103120 ,0.005700 ,84855000 ,0,76.12
2023-05-10,91450 ,-0.001100 ,102530 ,0.001800 ,58325000 ,0,74.59
2023-05-09,49750 ,-0.001300 ,102350 ,-0.008800 ,52449000 ,0,73.74
2023-05-08,85720 ,-0.026500 ,103260 ,-0.000200 ,47491000 ,0,70.31
2023-05-07,36500 ,-0.015000 ,103280 ,-0.004100 ,42189000 ,0,74.84
2023-05-06,58940 ,-0.022200 ,103710 ,-0.006800 ,47487000 ,0,73.96
2023-05-05,74520 ,0.023300 ,104420 ,-0.002200 ,50126000 ,0,77.82
2023-05-04,53800 ,-0.006300 ,104650 ,0.010100 ,51357000 ,0,79.07
2023-05-03,81220 ,0.012400 ,103600 ,0.000000 ,51515000 ,0,82.35
2023-05-02,65330 ,0.021100 ,103600 ,-0.009400 ,43743000 ,0,80.23
2023-05-01,84360 ,-0.040200 ,104580 ,-0.007000 ,41239000 ,0,81.8
2023-04-30,47620 ,0.000600 ,105310 ,-0.003300 ,38942000 ,0,81.99
2023-04-29,25720 ,-0.003000 ,105660 ,0.000400 ,46003000 ,0,84.6
2023-04-28,69880 ,-0.005200 ,105610 ,0.012100 ,45596000 ,0,84.11
2023-04-27,121630 ,0.037000 ,104350 ,-0.001600 ,45299000 ,0,83.23
2023-04-26,164310 ,0.004400 ,104520 ,-0.004800 ,58972000 ,0,82.87
2023-04-25,65310 ,0.028700 ,105030 ,0.005200 ,111800000 ,0,82.48
2023-04-24,66740 ,-0.003000 ,104480 ,-0.003700 ,51318000 ,0,81.92
2023-04-23,41770 ,-0.008000 ,104870 ,0.001900 ,41002000 ,0,82.21
2023-04-22,44300 ,0.020100 ,104670 ,-0.005100 ,46589000 ,0,82.07
2023-04-21,98720 ,-0.034600 ,105210 ,0.005900 ,41203000 ,0,80.07
2023-04-20,95450 ,-0.019900 ,104600 ,0.000100 ,42058000 ,0,80.83
2023-04-19,111270 ,-0.051600 ,104580 ,0.003900 ,67547000 ,0,81.91
2023-04-18,76580 ,0.032200 ,104180 ,0.003100 ,47492000 ,0,82.4
2023-04-17,71900 ,-0.028900 ,103860 ,0.000000 ,55074000 ,0,82.21
2023-04-16,34480 ,0.000400 ,103860 ,0.000100 ,52388000 ,0,84.03
2023-04-15,31710 ,-0.005700 ,103860 ,-0.000600 ,55965000 ,0,83.31
2023-04-14,98380 ,0.002800 ,103920 ,0.006700 ,66415000 ,0,84.91
2023-04-13,65870 ,0.016800 ,103230 ,-0.001100 ,45220000 ,0,84.43
2023-04-12,78690 ,-0.010700 ,103350 ,-0.002800 ,42937000 ,0,83.58
2023-04-11,89380 ,0.019200 ,103630 ,0.004000 ,56428000 ,0,83.23
2023-04-10,85730 ,0.046400 ,103220 ,-0.001800 ,66048000 ,0,81.93
2023-04-09,39350 ,0.013800 ,103410 ,-0.000200 ,49802000 ,0,80.46
2023-04-08,23730 ,0.001100 ,103430 ,-0.001900 ,48861000 ,0,78.36
2023-04-07,30940 ,-0.004500 ,103620 ,0.006900 ,54214000 ,0,79.77
2023-04-06,51290 ,-0.004900 ,102920 ,0.011400 ,48954000 ,0,80.9
2023-04-05,77320 ,0.000300 ,101750 ,0.005300 ,44954000 ,0,83.6
2023-04-04,64060 ,0.013000 ,101220 ,-0.008600 ,49620000 ,0,80.91
2023-04-03,98000 ,-0.014100 ,102100 ,-0.001800 ,65516000 ,0,82.63
2023-04-02,45040 ,-0.009100 ,102280 ,0.003400 ,56497000 ,0,84.17
2023-04-01,38090 ,-0.000600 ,101930 ,0.000900 ,45293000 ,0,83.23
2023-03-31,98440 ,0.015800 ,101840 ,0.001900 ,43962000 ,0,83.52
2023-03-30,122510 ,-0.011300 ,101640 ,-0.002700 ,51110000 ,0,-
2023-03-29,109320 ,0.039900 ,101920 ,-0.002200 ,44729000 ,0,-
2023-03-28,94160 ,0.004900 ,102140 ,0.001200 ,55141000 ,0,83.88
2023-03-27,107240 ,-0.030200 ,102010 ,-0.000500 ,35329000 ,0,81.43
2023-03-26,60640 ,0.018100 ,102060 ,-0.003000 ,38410000 ,0,83.7
2023-03-25,61360 ,0.000500 ,102360 ,-0.000300 ,50423000 ,0,82.54
2023-03-24,110360 ,-0.030000 ,102390 ,0.001200 ,40504000 ,0,81.79
2023-03-23,158460 ,0.038500 ,102270 ,0.000600 ,38917000 ,0,81.07
2023-03-22,262030 ,-0.030300 ,102200 ,-0.000400 ,43132000 ,0,79.53
2023-03-21,438780 ,0.014200 ,102250 ,-0.009100 ,40128000 ,0,76.84
2023-03-20,503900 ,-0.008500 ,103190 ,-0.000500 ,31049000 ,0,76.04
2023-03-19,393270 ,0.038800 ,103240 ,0.002300 ,35492000 ,0,77.09
2023-03-18,392470 ,-0.017400 ,103000 ,-0.008500 ,35107000 ,0,75.2
2023-03-17,674960 ,0.095500 ,103880 ,-0.011100 ,46490000 ,0,75.19
2023-03-16,462580 ,0.029700 ,105040 ,0.007600 ,34933000 ,0,77.1
2023-03-15,614310 ,-0.016900 ,104250 ,-0.002600 ,56505000 ,0,82.07
2023-03-14,753060 ,0.024300 ,104520 ,0.009900 ,32503000 ,0,78.77
2023-03-13,733630 ,0.096400 ,103490 ,-0.000300 ,40326000 ,0,78.15
2023-03-12,455690 ,0.074600 ,103520 ,-0.003000 ,35404000 ,0,80
2023-03-11,453460 ,0.015400 ,103840 ,-0.006000 ,47823000 ,0,80.63
2023-03-10,655270 ,-0.010100 ,104460 ,0.002700 ,47854000 ,0,78.11
2023-03-09,468760 ,-0.062100 ,104180 ,-0.001400 ,49689000 ,0,78.88
2023-03-08,316510 ,-0.021900 ,104320 ,0.000100 ,65659000 ,0,76.74
2023-03-07,304750 ,-0.009500 ,104310 ,-0.001100 ,45733000 ,0,75.79
2023-03-06,215310 ,-0.000800 ,104430 ,0.002600 ,46534000 ,0,75.36
2023-03-05,160570 ,0.003600 ,104160 ,0.001900 ,51546000 ,0,76.36
2023-03-04,123930 ,-0.000300 ,103960 ,-0.007200 ,37239000 ,0,77.73
2023-03-03,344630 ,-0.047300 ,104720 ,0.000200 ,35269000 ,0,76.71
2023-03-02,249260 ,-0.007500 ,104700 ,0.001400 ,35226000 ,0,75.48
2023-03-01,328770 ,0.022100 ,104560 ,0.007600 ,37139000 ,0,71.83
2023-02-28,275100 ,-0.015500 ,103770 ,-0.002000 ,47098000 ,18,72.05
2023-02-27,297650 ,-0.002700 ,103980 ,-0.010900 ,56530000 ,18,73.09
2023-02-26,209120 ,0.016900 ,105130 ,0.003100 ,29838000 ,18,74.85
2023-02-25,198350 ,-0.001100 ,104810 ,0.000300 ,30374000 ,18,77.97
2023-02-24,367990 ,-0.031100 ,104770 ,-0.003100 ,16793000 ,18,80.81
2023-02-23,417460 ,-0.010300 ,105100 ,-0.004500 ,42724000 ,18,80.98
2023-02-22,400240 ,-0.010800 ,105580 ,0.002700 ,47287000 ,18,81.37
2023-02-21,395970 ,-0.015700 ,105290 ,0.007100 ,40474000 ,18,80.44
2023-02-20,363020 ,0.022100 ,104540 ,-0.001700 ,49207000 ,18,80.96
2023-02-19,312640 ,-0.013300 ,104730 ,-0.011500 ,71089000 ,18,76.68
2023-02-18,223770 ,0.002400 ,105950 ,-0.008200 ,64955000 ,18,81.08
2023-02-17,523850 ,0.043900 ,106820 ,0.001300 ,54588000 ,18,77.67
2023-02-16,484500 ,-0.032400 ,106680 ,0.006800 ,52785000 ,18,81.83
2023-02-15,401530 ,0.095900 ,105960 ,0.001300 ,65549000 ,18,82.35
2023-02-14,378390 ,0.019600 ,105820 ,-0.002400 ,70082000 ,18,81.27
2023-02-13,312040 ,-0.000700 ,106080 ,-0.010700 ,45441000 ,18,84.35
2023-02-12,211650 ,-0.003300 ,107220 ,-0.005700 ,59529000 ,18,87.18
