Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-06-26,58.71K,-0.65%,104.26k,0.06%,"35,625K",0,76.23
2023-06-25,37.12K,-0.22%,104.21k,-0.04%,"37,200K",0,75.33
2023-06-24,38.15K,-0.48%,104.25k,0.35%,"47,312K",0,76.72
2023-06-23,98.85K,2.64%,103.89k,0.39%,"74,873K",0,76.64
2023-06-22,79.22K,-0.35%,103.49k,0.28%,"43,254K",0,74.9
2023-06-21,143.49K,5.97%,103.2k,0.00%,"44,941K",0,74.47
2023-06-20,100.55K,5.44%,103.2k,-0.37%,"29,393K",0,74.99
2023-06-19,46.45K,1.92%,103.58k,0.68%,"27,403K",0,75.37
2023-06-18,27.31K,-0.66%,102.88k,0.31%,"32,215K",0,73.18
2023-06-17,35.86K,0.66%,102.56k,0.13%,"36,935K",0,74.6
2023-06-16,69.24K,2.93%,102.43k,-0.24%,"31,487K",0,73.33
2023-06-15,68.38K,1.84%,102.68k,0.61%,"34,498K",0,73.54
2023-06-14,60.82K,-3.08%,102.06k,0.57%,"36,101K",0,76.22
2023-06-13,56.24K,0.09%,101.48k,-0.13%,"32,185K",0,75.74
2023-06-12,40.75K,-0.08%,101.61k,0.22%,"38,339K",0,75.85
2023-06-11,39.20K,0.33%,101.38k,0.16%,"40,273K",0,76.21
2023-06-10,83.57K,-2.40%,101.21k,-0.18%,"57,033K",0,73.27
2023-06-09,38.96K,-0.08%,101.4k,0.06%,"29,169K",0,72.97
2023-06-08,39.95K,0.60%,101.34k,-0.60%,"37,716K",0,73.66
2023-06-07,77.48K,-3.26%,101.96k,-0.19%,"40,634K",0,78.61
2023-06-06,88.61K,5.76%,102.15k,0.48%,"37,853K",0,-
2023-06-05,85.42K,-5.07%,101.66k,0.15%,"33,928K",0,79.73
2023-06-04,23.81K,0.19%,101.5k,0.04%,"34,510K",0,78
2023-06-03,20.62K,-0.63%,101.47k,-0.39%,"42,771K",0,80.28
